,Date,Close,Diff,Open,High,Low,Volume
1497,2018-01-11,6120,90,6125,6125,6095,761
1496,2018-01-12,6095,25,6100,6100,6070,1190
1495,2018-01-15,6130,35,6100,6130,6100,846
1494,2018-01-16,6130,0,6130,6140,6110,2745
1490,2018-01-17,6145,15,6150,6150,6120,1106
1489,2018-01-18,6045,100,6045,6045,6035,1166
1488,2018-01-19,6130,85,6175,6175,6125,314
1487,2018-01-22,6100,30,6175,6175,6100,382
1486,2018-01-23,6150,50,6155,6155,6145,1590
1483,2018-01-24,6065,85,6175,6175,6055,7164
1482,2018-01-25,6195,130,6170,6225,6170,5022
1481,2018-01-26,6155,40,6175,6185,6155,2004
1480,2018-01-29,6200,45,6225,6225,6190,1131
1479,2018-01-30,6175,25,6175,6175,6145,234
1475,2018-01-31,6100,75,6105,6105,6075,765
1474,2018-02-01,6135,35,6135,6165,6135,1500
1473,2018-02-02,6160,25,6190,6190,6160,111
1472,2018-02-05,6085,75,6125,6125,6085,1851
1471,2018-02-06,6160,75,6155,6180,6155,1088
1468,2018-02-07,6040,120,6020,6050,6020,747
1467,2018-02-08,5970,70,5970,5970,5965,177
1466,2018-02-09,5975,5,5515,5990,5515,1997
1465,2018-02-12,5850,125,5870,5870,5850,1003
1464,2018-02-13,5895,45,5895,5925,5895,684
1460,2018-02-14,5975,80,5975,6005,5975,685
1459,2018-02-19,6185,210,6035,6185,6035,916
1458,2018-02-20,6185,0,6155,6185,6155,437
1457,2018-02-21,6005,180,6200,6200,6005,1454
1456,2018-02-22,6105,100,6105,6110,6105,670
1453,2018-02-23,6115,10,6110,6115,6085,668
1452,2018-02-26,6020,95,6035,6035,6015,533
1451,2018-02-27,6040,20,6035,6040,6035,52
1450,2018-02-28,6035,5,6035,6035,6005,103
1449,2018-03-02,5965,70,5970,5970,5950,621
1445,2018-03-05,5960,5,5965,5965,5945,565
1444,2018-03-06,5955,5,5965,5965,5955,82
1443,2018-03-07,6005,50,6005,6005,6005,114
1442,2018-03-08,5915,90,5920,5920,5900,540
1441,2018-03-09,5855,60,5855,5855,5850,2180
1438,2018-03-12,5945,90,5970,5970,5940,338
1437,2018-03-13,5880,65,5880,5880,5875,2994
1436,2018-03-14,5925,45,5950,5950,5900,819
1435,2018-03-15,5930,5,5900,5930,5900,1465
1434,2018-03-16,5890,40,5990,5990,5860,545
1430,2018-03-19,5870,20,5920,5920,5870,195
1429,2018-03-20,5860,10,5860,5860,5830,472
1428,2018-03-21,5800,60,5820,5820,5795,1673
1427,2018-03-22,5805,5,5920,5990,5805,201
1426,2018-03-23,5755,50,5985,5985,5730,949
1423,2018-03-26,5720,35,5725,5725,5690,372
1422,2018-03-27,5685,35,5720,5720,5680,666
1421,2018-03-28,5700,15,5685,5700,5670,588
1420,2018-03-29,5685,15,5685,5685,5660,132
1419,2018-03-30,5660,25,5660,5690,5660,283
1415,2018-04-02,5685,25,5685,5685,5655,595
1414,2018-04-03,5665,20,5685,5685,5665,113
1413,2018-04-04,5675,10,5675,5705,5675,1568
1412,2018-04-05,5660,15,5660,5665,5660,130
1411,2018-04-06,5715,55,5720,5720,5715,107
1408,2018-04-09,5705,10,5720,5720,5705,317
1407,2018-04-10,5880,175,5675,5905,5675,2713
1406,2018-04-11,6005,125,5925,6040,5925,5344
1405,2018-04-12,6065,60,6045,6075,6045,1524
1404,2018-04-13,6100,35,6075,6105,6075,1076
1400,2018-04-16,6070,30,6070,6070,6070,1394
1399,2018-04-17,6240,170,6120,6245,6120,2499
1398,2018-04-18,6240,0,6240,6240,6210,895
1397,2018-04-19,6465,225,6250,6475,6250,1230
1396,2018-04-20,6380,85,6410,6410,6380,178
1393,2018-04-23,6385,5,6385,6385,6355,880
1392,2018-04-24,6130,255,6500,6500,6120,1403
1391,2018-04-25,6095,35,6105,6105,6065,2138
1390,2018-04-26,6090,5,6095,6095,6090,9
1389,2018-04-27,6110,20,6095,6135,6095,690
1385,2018-04-30,5985,125,6110,6110,5960,1829
1384,2018-05-02,6015,30,6015,6015,5985,4133
1383,2018-05-03,6145,130,6115,6145,6115,2414
1382,2018-05-04,6065,80,6035,6065,6035,907
1381,2018-05-08,6160,95,6160,6175,6160,2615
1378,2018-05-09,6150,10,6155,6155,6125,1057
